trade_date,symbol,expiry_date,close,high,low,open,pct_return,candle_body,daily_range,daily_range_pct,price_in_range,momentum_5,momentum_10,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,price_vs_sma20,price_vs_sma50,ATR,BB_width,BB_pct,volume_lots,volume_spike_ratio,is_volume_spike,volume_momentum,volume_change_MA,open_interest,OI_change,OI_change_pct,OI_momentum,price_oi_bullish,RSI,MACD,MACD_signal,rsi_oversold,vol_spike,oi_increasing,price_near_bb_lower,strong_entry_signal,target,return_next_n_pct
2020-02-03,SILVER,2020-02-05,66721.0,67078.0,66243.0,66748.0,0.10352277501051166,27.0,835.0,1.251480043764332,0.5724550898203593,-707.0,-4580.0,67324.1,69141.95,,67656.65425127787,68326.23761760531,-3.501419904992551,,1010.0,8349.17289064583,0.21003714598935197,5386,0.28510025619852214,0,5386,9.540390072039274,13060,-51756.0,-79.8506541594668,-3602.2,0,24.17753986840637,-669.5833663274389,-244.67307085266958,1,0,0,0,0,0,-2.8986376103475666
2020-02-04,SILVER,2020-02-05,65639.0,65808.0,65531.0,65680.0,-1.6216783321592931,41.0,277.0,0.4220052103170371,0.3898916967509025,-1096.0,-4107.0,66913.4,68918.7,,67346.24590492743,68127.18297926418,-4.758795508330826,,1041.7857142857142,8855.679079432331,0.1296500843603026,31617,1.6755211328063933,1,0,50.80114266130252,23731,10671.0,81.70750382848394,-10477.4,0,17.726276229251482,-780.9370743367472,-351.9258715494851,1,1,1,1,1,0,-1.9607245692347535
2020-02-05,SILVER,2020-02-05,65241.0,65810.0,64625.0,65463.0,-0.606346836484406,222.0,1185.0,1.8163424840207845,0.5198312236286919,-422.0,-3134.0,66600.0,68684.25,,67022.36191955398,67913.39164746684,-5.013158038414921,,1087.7142857142858,9382.213306374819,0.1330023750727926,12192,0.6475186947654656,0,0,48.336911884791974,30719,6988.0,29.446715266950395,-5512.6,0,17.672772689425486,-891.0297279128572,-459.7466428221595,1,0,1,1,0,0,-1.6722613080731443
2020-02-06,SILVER,2020-02-05,65342.0,66249.0,64496.0,65482.0,0.15481062522033628,140.0,1753.0,2.6828073826941323,0.48260125499144324,-1469.0,-2603.0,66339.7,68463.5,,66763.84470116106,67722.91819209892,-4.559363748566755,,1173.357142857143,9779.72204965059,0.1808191496493988,15745,0.8196443956261339,0,15745,56.31114767079364,57042,26323.0,85.6896383345812,-2280.6,1,19.26330442231503,-959.0734909378662,-559.6120124453009,1,0,1,1,0,0,-2.485384591839858
2020-02-07,SILVER,2020-02-05,64488.0,65070.0,64035.0,64512.0,-1.3069694836399304,24.0,1035.0,1.604949758094529,0.43768115942028984,-2164.0,-2677.0,66072.0,68134.4,,66413.71474713628,67483.29462231381,-5.351775314672169,,1222.642857142857,10070.097090422089,0.13789822806493365,35020,1.8139062694236108,1,0,64.44623603792395,59116,2074.0,3.6359173942007716,-1140.0,0,15.849624060150376,-1069.5798751775292,-661.6055849917466,1,1,1,1,1,1,0.989331348467932
2020-02-10,SILVER,2020-02-05,64787.0,65037.0,64622.0,64909.0,0.46365215233841184,122.0,415.0,0.6405606062944726,0.39759036144578314,-1934.0,-2641.0,65807.9,67787.45,,66163.45093988455,67283.56909473501,-4.4262617932965425,,1128.642857142857,9897.097967001348,0.19683537436892903,26159,1.3387170649451008,0,26159,59.9049903367547,36325,-22791.0,-38.55301441234184,4653.0,0,21.562105746071794,-1120.1181548504537,-753.308098963488,1,0,0,1,0,1,0.5325142389676941
2020-02-11,SILVER,2020-02-05,64352.0,65029.0,63627.0,64219.0,-0.6714309969592658,133.0,1402.0,2.1786424664346096,0.5171184022824536,-1287.0,-2383.0,65569.6,67437.45,,65884.76617990232,67066.41582845834,-4.575276793532373,,1115.0714285714287,9753.377863456837,0.1836531873167435,8409,0.4394702734342336,0,0,54.89856758280719,32597,-3728.0,-10.262904335856849,1773.2,0,24.155210073236546,-1181.64964855602,-838.9764088819944,1,0,0,1,0,0,-0.0015539532570860268
2020-02-12,SILVER,2020-02-05,64150.0,64342.0,63864.0,64201.0,-0.3138985579313802,51.0,478.0,0.745128604832424,0.5983263598326359,-1091.0,-1513.0,65418.3,67053.85,,65617.87907530196,66850.38502635031,-4.330623819512236,,1082.7142857142858,9249.979598270613,0.18606957786772707,30745,1.527629751639053,1,0,75.8773219048194,77439,44842.0,137.5648065772924,9344.0,0,24.884182660489742,-1232.5059510483552,-917.6823173152666,1,1,1,1,1,1,1.3047544816835541
2020-02-13,SILVER,2020-02-05,63718.0,64112.0,63359.0,63949.0,-0.6734216679657012,231.0,753.0,1.1817696726199818,0.4767596281540505,-1624.0,-3093.0,65109.0,66667.1,,65325.58998679396,66618.35650587991,-4.423621246461906,,1039.4285714285713,8724.50312504667,0.16197501935283795,34455,1.637614515381599,1,0,77.33718046714294,24551,-52888.0,-68.29633647128708,-6498.2,0,26.085749965311507,-1292.7665190859552,-992.6991576694045,1,1,0,1,0,1,0.5759753915691014
2020-02-14,SILVER,2020-02-05,65126.0,65264.0,64905.0,65097.0,2.2097366521234285,29.0,359.0,0.5512391364432023,0.6155988857938719,638.0,-1526.0,64956.4,66369.25,,65294.883834979504,66507.81157951844,-1.8732319560639903,,1099.0714285714287,7758.969424241717,0.33976609108477024,34166,1.591006987373367,1,34166,67.46729095021112,34278,9727.0,39.619567431061874,-4967.6,1,36.218869731800766,-1212.927744538938,-1036.7448750433114,0,1,1,0,0,0,-1.3328010318459602
2020-02-17,SILVER,2020-02-05,65132.0,65366.0,64849.0,65022.0,0.009212910358380455,110.0,517.0,0.7937726463182461,0.5473887814313346,345.0,-1589.0,64797.5,66060.8,,65269.8247834442,66405.89961066523,-1.4059775237357144,,1040.2142857142858,6277.459036735876,0.35204204526630317,33072,1.4847637967608336,0,33072,75.76347409503256,25141,-9137.0,-26.655580839022107,-2236.8,0,39.54337899543379,-1136.074827221033,-1056.6108654788557,0,0,0,0,0,0,-3.543573051648959
2020-02-18,SILVER,2020-02-05,64351.0,64712.0,64000.0,64267.0,-1.1991033593318212,84.0,712.0,1.1064319124799926,0.49297752808988765,-1.0,-1288.0,64668.7,65791.05,,65128.467124452785,66253.68482469003,-2.1888235557876077,,1020.5714285714286,5404.296532438668,0.23353608719353852,17109,0.7905991298742407,0,0,22.23454157525462,77913,52772.0,209.90414064675232,9063.2,0,41.10387849199891,-1125.2177002372482,-1070.3322324305343,0,0,1,0,0,0,-3.8476480551972774
2020-02-19,SILVER,2020-02-05,64987.0,65392.0,64667.0,64845.0,0.9883296296871791,142.0,725.0,1.1156077369320017,0.4413793103448276,837.0,-254.0,64643.3,65621.65,,65106.70295146005,66159.85631915744,-0.9671350842290528,,1009.0714285714286,4862.608920712402,0.36948364337985584,7484,0.3551371268723115,0,7484,22.75269416088394,43615,-34298.0,-44.02089510094592,-6764.8,0,36.70941416496648,-1053.153367697385,-1066.8964594839044,0,0,0,0,0,0,-4.545524489513287
2020-02-20,SILVER,2020-02-05,64085.0,64404.0,63748.0,63985.0,-1.3879699016726477,100.0,656.0,1.0236404774908325,0.5137195121951219,367.0,-1257.0,64517.6,65428.65,,64949.51788200466,66006.16325847911,-2.053611070991074,,1069.642857142857,4523.320117370975,0.20295049540271132,39622,1.7539852233540063,1,0,62.780764981434096,72751,29136.0,66.80270549123009,9640.0,0,33.12294543063773,-1056.645376474451,-1064.846242882014,0,1,1,0,0,0,-2.3390809081688384
2020-02-21,SILVER,2020-02-05,64258.0,64583.0,63968.0,64211.0,0.269953967387071,47.0,615.0,0.957079274175978,0.4715447154471545,-868.0,-230.0,64494.6,65283.3,,64843.130515542405,65876.66968377696,-1.57053947946872,,1053.9285714285713,4326.635469300942,0.26302602627957056,18992,0.8299465988445772,0,18992,45.332080053354055,37452,-35299.0,-48.52029525367348,634.8,0,34.02516539110131,-1033.5391682345507,-1058.5848279525214,0,0,0,0,0,0,-2.3825827134364594
2020-02-24,SILVER,2020-02-05,62824.0,63374.0,62482.0,62647.0,-2.2316287466152107,177.0,892.0,1.419839551763657,0.3834080717488789,-2308.0,-1963.0,64298.3,65053.1,,64532.4950516128,65650.54600349718,-3.42658535873002,,1095.7857142857142,4364.28662284209,-0.010759304472164733,22457,0.967204959848741,0,0,49.68680087241184,32725,-4727.0,-12.621488839047313,1516.8,0,32.53938717280734,-1118.0509518843755,-1070.4780527388923,0,0,0,1,0,0,-0.26263848210874824
2020-02-25,SILVER,2020-02-05,61875.0,62300.0,61347.0,61877.0,-1.5105692092194034,2.0,953.0,1.5402020202020201,0.5540398740818469,-2476.0,-2477.0,64050.6,64810.1,,64123.64965905699,65370.87592916405,-4.528769435628087,,1116.642857142857,4916.897763941743,-0.09694143358535262,55100,2.1756469687038513,1,0,71.00800793961004,60391,27666.0,84.54087089381208,-3504.4,0,30.457501161170455,-1247.226270107065,-1105.827696212527,0,1,1,1,0,1,0.938989898989899
2020-02-26,SILVER,2020-02-05,62033.0,62698.0,61399.0,62145.0,0.2553535353535308,112.0,1299.0,2.0940467170699466,0.4880677444187837,-2954.0,-2117.0,63838.9,64628.6,,63802.0112499713,65123.62586033709,-4.016178595853845,,1084.2142857142858,5431.670310125359,0.02213594496679044,88885,3.090491224166226,1,88885,50.57757000030941,21698,-38693.0,-64.07080525243828,-4383.4,0,30.914753720152262,-1321.6146103657884,-1148.9850790431792,0,1,0,1,0,0,-1.012364386697403
2020-02-27,SILVER,2020-02-05,62586.0,62632.0,62472.0,62472.0,0.89146099656634,114.0,160.0,0.2556482280382194,0.7125,-1499.0,-1132.0,63725.7,64417.35,,63614.93259612956,64935.65357438619,-2.8429452624176537,,1033.642857142857,5315.453264824078,0.15546682309874363,82290,2.58030327735203,1,82290,48.62889976265589,12365,-9333.0,-43.013180938335324,-12077.2,0,38.635277246653914,-1320.7209782566279,-1183.332258885869,0,1,0,1,0,0,-2.681110791550826
2020-02-28,SILVER,2020-02-05,62727.0,62918.0,62635.0,62918.0,0.2252900009586778,191.0,283.0,0.4511613818610805,0.3250883392226148,-1531.0,-2399.0,63485.8,64221.1,,63478.3275813404,64772.04960591314,-2.3264939404650473,,1018.1428571428571,5079.99318689997,0.20588543231654166,78430,2.3158407582658507,1,78430,48.24370449271295,53372,41007.0,331.637687019814,3184.0,1,37.45432399512789,-1293.7220245727367,-1205.4102120232426,0,1,1,0,0,0,-3.39407272785244
2020-03-02,SILVER,2020-04-05,62659.0,63316.0,62093.0,62723.0,-0.10840626843304779,64.0,1223.0,1.9518345329481799,0.4627964022894522,-165.0,-2473.0,63238.5,64018.0,,63352.27718421111,64615.52741288254,-2.1228404511231216,,1005.3571428571429,4680.142328020498,0.20962421551508603,34048,0.9645366765014582,0,0,42.90510183342526,54134,762.0,1.4277149066926453,4281.8,0,39.20693612138212,-1263.2502286714298,-1216.97821535288,0,0,1,0,0,0,-2.0635503279656553
2020-03-03,SILVER,2020-04-05,62456.0,62585.0,62379.0,62585.0,-0.3239758055506803,129.0,206.0,0.3298322018701165,0.3737864077669903,581.0,-1895.0,63049.0,63858.85,,63214.38838664017,64455.562419335685,-2.196798094547582,,990.5,4617.250086133259,0.196171969499095,24669,0.7057874340711453,0,0,44.97720298047831,47823,-6311.0,-11.658107658772677,-2513.6,0,39.20193778684344,-1241.1740326955187,-1221.8173788214078,0,0,0,1,0,0,-1.3257333162546432
2020-03-04,SILVER,2020-04-05,61405.0,61667.0,61190.0,61324.0,-1.682784680415017,81.0,477.0,0.7768097060499959,0.45073375262054505,-628.0,-3582.0,62690.8,63667.05,,62936.02094254168,64229.59483271823,-3.55293672315586,,1024.4285714285713,4915.419943509965,0.039805341965403016,14777,0.4212167597351326,0,0,46.59300610335705,11949,-35874.0,-75.0141145473935,-1949.8,0,36.33463310882666,-1293.5738901765435,-1236.168681092435,0,0,0,1,0,0,-1.6513313248106831
2020-03-05,SILVER,2020-04-05,60908.0,61012.0,60716.0,61012.0,-0.8093803436202252,104.0,296.0,0.4859788533525974,0.6486486486486487,-1678.0,-3177.0,62373.1,63445.35,,62624.017720612195,63983.55077103539,-3.999268661927152,,963.2142857142857,5232.730075410735,0.015100155476521541,25968,0.7295847340125896,0,0,11.223984981325753,59396,47447.0,397.07925349401626,9406.2,0,22.07362288135593,-1359.533050423197,-1260.8415549585875,1,0,1,1,0,0,-0.4465751625402246
2020-03-06,SILVER,2020-04-05,60598.0,60695.0,60466.0,60466.0,-0.508964339659812,132.0,229.0,0.3779002607346777,0.5764192139737991,-2129.0,-3660.0,62007.1,63250.85,,62312.32268667186,63732.76923244017,-4.194172884633169,,957.8571428571429,5714.555122897531,0.035773136675092486,16292,0.47010008238004763,0,0,12.704563867076445,41912,-17484.0,-29.436325678496868,-2292.0,0,21.14307535641548,-1420.446545768311,-1292.7625531205322,1,0,0,1,0,0,-0.35974784646357966
2020-03-09,SILVER,2020-04-05,61366.0,61787.0,60927.0,61475.0,1.267368560018478,109.0,860.0,1.4014275005703485,0.5104651162790698,-1293.0,-1458.0,61861.3,63079.8,,62166.73458103004,63557.45299300016,-2.7168760839444683,,961.9285714285714,5759.1598217651845,0.20242187175928744,18923,0.5517770264458158,0,18923,12.495014485952552,66947,25035.0,59.732296239740414,2562.6,1,30.97029198010965,-1390.7184119701196,-1312.3537248904497,0,0,1,0,0,0,-2.353094547469283
2020-03-10,SILVER,2020-04-05,61628.0,62135.0,61116.0,61650.0,0.42694651761561175,22.0,1019.0,1.653469202310638,0.5024533856722276,-828.0,-247.0,61836.6,62943.6,66102.88,62083.852337794655,63414.53054907422,-2.0901251278922697,-6.769568890190571,960.3571428571429,5767.796536305119,0.2719059624036636,32703,0.9209687026093129,0,32703,5.24137841960839,54387,-12560.0,-18.761109534407815,1312.8,0,27.513723390012046,-1330.6782112795627,-1316.0186221682725,1,0,0,0,0,0,-2.0461478548711622
2020-03-11,SILVER,2020-04-05,60391.0,60541.0,60281.0,60458.0,-2.0072045174271413,67.0,260.0,0.430527727641536,0.4230769230769231,-1014.0,-1642.0,61672.4,62755.65,65950.7,61823.41351659548,63190.56532321687,-3.76802726129042,-8.430084896748628,968.0714285714286,6077.325627194114,0.11090615427632464,23657,0.6729351058670259,0,0,-3.6563076127369447,73965,19578.0,35.99757294941806,12403.2,0,26.33264992311635,-1367.1518066213903,-1326.245259058896,1,0,1,1,0,1,1.1955423821430344
2020-03-12,SILVER,2020-04-05,60636.0,60700.0,60493.0,60493.0,0.4056895895083734,143.0,207.0,0.34138135760934096,0.6908212560386473,-272.0,-1950.0,61477.4,62601.55,65795.18,61640.73451404233,63001.33826223784,-3.1397784879128436,-7.84127347930349,946.2142857142857,6287.889978279702,0.18740706233893747,8629,0.2548160047720786,0,8629,-9.266791470716718,26508,-47457.0,-64.16142770229163,-6577.6,0,27.006094464195016,-1360.6037481955136,-1333.1169568862197,1,0,0,1,0,1,1.913054950854278
2020-03-13,SILVER,2020-04-05,60380.0,60496.0,60150.0,60272.0,-0.4221914374299085,108.0,346.0,0.5730374296124545,0.6647398843930635,-218.0,-2347.0,61242.7,62364.25,65636.4,61446.77535803581,62807.16505762763,-3.1817106755873756,-8.008361214204305,854.0714285714286,6113.802417481536,0.1754474769537329,7114,0.21881790960304268,0,0,-10.553426177341,55592,29084.0,109.71782103515922,2736.0,0,31.755747984472976,-1360.3896995918185,-1338.5715054273394,0,0,1,1,0,1,1.3762835375952303
2020-03-16,SILVER,2020-04-05,59922.0,60223.0,59531.0,59993.0,-0.7585293143424932,71.0,692.0,1.1548346183371716,0.565028901734104,-1444.0,-2737.0,60969.0,62103.75,65457.78,61212.194533722606,62593.449127432985,-3.5130728820723385,-8.457023748743081,809.2142857142857,5899.795090108324,0.13019902103753545,39445,1.2015035166328052,0,0,40.55238375558106,11919,-43673.0,-78.55986472873795,-11005.6,0,34.26776220396326,-1381.2545937103787,-1347.1081230839472,0,0,0,1,0,1,1.8106872267280798
2020-03-17,SILVER,2020-04-05,60367.0,60454.0,60252.0,60252.0,0.7426320883815674,115.0,202.0,0.33461990822800536,0.5693069306930693,-1261.0,-2089.0,60760.1,61904.55,65263.04,61082.16460545758,62428.526969845356,-2.483743117428368,-7.502010326212203,754.4285714285714,5694.433769734969,0.22999071335734164,30574,0.9125763552164811,0,30574,41.058070023018736,52595,40676.0,341.2702407920127,-358.4,1,37.17277486910994,-1346.3623643877727,-1346.9589713447124,0,0,1,0,0,1,1.477628505640499
2020-03-18,SILVER,2020-04-05,61113.0,61593.0,60922.0,61169.0,1.2357745125648023,56.0,671.0,1.097966062867148,0.2846497764530551,722.0,-292.0,60730.9,61710.85,65086.7,61086.90851231026,62331.08052763459,-0.9687923598524386,-6.105241162941119,799.2142857142857,4931.635240705844,0.3787724617049271,37349,1.0672301564169826,0,37349,47.28389608754155,19617,-32978.0,-62.701777735526186,-10869.6,0,38.98609241812472,-1244.1720153243295,-1326.4015801406358,0,0,0,0,0,1,1.4121381702747369
2020-03-19,SILVER,2020-04-05,61796.0,62172.0,61582.0,61627.0,1.1176018195801163,169.0,590.0,0.9547543530325587,0.36271186440677966,1160.0,888.0,60819.7,61596.4,64927.48,61195.999510416375,62291.44493299499,0.3240449117156174,-4.823042569956517,851.1428571428571,4399.990889943103,0.5453637302877642,27257,0.7928628670412285,0,27257,37.00855997529263,43298,23681.0,120.71672528928991,3358.0,1,43.56065845898464,-1095.4454225786176,-1280.2103486282322,0,0,1,0,0,0,-0.2411159298336462
2020-03-20,SILVER,2020-04-05,61211.0,61593.0,60601.0,61314.0,-0.9466632144475406,103.0,992.0,1.620623744098283,0.6149193548387096,831.0,613.0,60881.0,61444.05,64730.3,61198.307278044624,62211.41197499536,-0.3792881491373093,-5.436866506103019,849.1428571428571,3623.32943139656,0.4356807035041864,22973,0.6644011915435116,0,0,39.162978085505344,16929,-26369.0,-60.90119636010901,-7732.6,0,40.653240382132715,-1013.104696950737,-1226.7892182927333,0,0,0,0,0,1,0.5211481596445083
2020-03-23,SILVER,2020-04-05,61007.0,61507.0,60704.0,60856.0,-0.33327343124601727,151.0,803.0,1.316242398413297,0.37733499377334995,1085.0,-359.0,60845.1,61353.2,64515.92,61168.87538911468,62122.196273143854,-0.5642737461126676,-5.438843621853332,886.5,3398.0538330984564,0.3981181532123284,30737,0.8784258809408133,0,0,40.927694619007035,24456,7527.0,44.46216551479709,2507.4,0,40.64799277139538,-953.3208840291773,-1172.095551440022,0,0,1,0,0,0,-0.4081498844394906
2020-03-24,SILVER,2020-04-05,61259.0,61461.0,61101.0,61327.0,0.4130673529267215,68.0,360.0,0.5876687507141808,0.4388888888888889,892.0,-369.0,60808.2,61322.4,64314.06,61182.74071386627,62058.25580846653,-0.10338799525132977,-4.7502210247650325,828.5,3362.882823443899,0.4811471278279408,17047,0.51519643620791,0,17047,29.191635719198196,47924,23468.0,95.96009159306509,-934.2,1,48.94933793897524,-875.5150946002614,-1112.77946007207,0,0,1,0,0,0,-2.164579898463899
2020-03-25,SILVER,2020-04-05,61976.0,62729.0,61709.0,62053.0,1.1704402618390786,77.0,1020.0,1.6457983735639603,0.26176470588235295,863.0,1585.0,60966.7,61319.55,64117.14,61304.78060404069,62052.16278561716,1.0705394935220447,-3.339419069534292,884.2857142857143,3353.112357827282,0.6957733383039265,27113,0.9037741981183176,0,27113,37.86259409765783,34240,-13684.0,-28.55354310992405,2924.6,0,57.449776785714285,-747.382181576475,-1039.7000043729508,0,0,0,0,0,0,-2.350910029688912
2020-03-26,SILVER,2020-04-05,61647.0,61951.0,61499.0,61561.0,-0.5308506518652334,86.0,452.0,0.7332068064950444,0.3274336283185841,-149.0,1011.0,61067.8,61272.6,63921.02,61357.42974188058,62022.1507274233,0.6110398448898879,-3.557546484708781,886.7857142857143,3153.709234670445,0.6187173490453775,5694,0.21757779437866712,0,0,36.315147500049164,19228,-15012.0,-43.84345794392524,-4814.0,0,57.297898984277175,-664.7209855427209,-964.7042006069048,0,0,0,0,0,0,-0.23845442600613168
2020-03-27,SILVER,2020-04-05,61530.0,61764.0,61141.0,61602.0,-0.18979025743345312,72.0,623.0,1.012514220705347,0.6243980738362761,319.0,1150.0,61182.8,61212.75,63729.96,61383.97901236049,61985.695117984535,0.5182743791121948,-3.4520027942901566,846.3571428571429,2856.581652403038,0.6110593144547856,20588,0.8844459432464769,0,0,64.22821362113316,31686,12458.0,64.79092989390472,2951.4,0,51.254589963280296,-601.7161056240438,-892.1065816103327,0,0,1,0,0,0,-0.10726474890297416
2020-03-30,SILVER,2020-04-05,60758.0,60845.0,60582.0,60789.0,-1.254672517471156,31.0,263.0,0.4328648079265282,0.6692015209125475,-249.0,836.0,61266.4,61117.7,63519.1,61287.67454892042,61894.754738874566,-0.5885365450597734,-4.3468814891898635,841.2857142857143,2533.902868574878,0.3580450717109373,25067,1.098042823100645,0,0,20.956746866300456,21920,-9766.0,-30.82118285678217,-507.2,0,43.82628441669033,-607.0801899541475,-835.1013032790958,0,0,0,0,0,1,2.3799335066987064
2020-03-31,SILVER,2020-04-05,59933.0,60234.0,59688.0,59868.0,-1.3578458803778948,65.0,546.0,0.911017302654631,0.44871794871794873,-1326.0,-434.0,61223.0,60991.55,63322.84,61079.26307985574,61749.439573032,-1.7355682877382241,-5.353265899002629,821.5,2413.7725790060504,0.06145412819467217,11704,0.5276695122528522,0,0,17.87478795363095,17432,-4488.0,-20.474452554744527,-6098.4,0,46.548085619535726,-670.1764931762664,-802.1163412585299,0,0,0,1,0,1,4.254751138771629
2020-04-01,SILVER,2020-04-05,60519.0,60623.0,60392.0,60397.0,0.9777584969883124,122.0,231.0,0.3816983096217717,0.5497835497835498,-1457.0,-594.0,61163.6,60947.25,63165.72,60993.068759877926,61658.29590095556,-0.7026568056803218,-4.190120844027427,848.7142857142857,2416.0588612565334,0.3227485236939643,6971,0.3199137228806462,0,6971,11.614936235662949,73575,56143.0,322.0686094538779,7867.0,1,49.16129032258065,-665.2271410776375,-774.7385012223515,0,0,1,0,0,1,2.4983889357061417
2020-04-02,SILVER,2020-04-05,61500.0,61730.0,61130.0,61258.0,1.6209785356664952,242.0,600.0,0.975609756097561,0.6166666666666667,-147.0,-296.0,61134.0,60976.85,63036.82,61071.05818143517,61646.570278662555,0.8579485493265091,-2.4379719662254535,900.5,2465.4770948574587,0.7121901684226547,16441,0.7713745490032325,0,16441,27.901868140405462,43910,-29665.0,-40.31940197077811,4936.4,0,57.27272727272727,-575.5120972273871,-734.8932204233586,0,0,0,0,0,1,1.3170731707317074
2020-04-03,SILVER,2020-04-05,61464.0,62078.0,61083.0,61507.0,-0.05853658536585371,43.0,995.0,1.6188337888845505,0.3829145728643216,-66.0,253.0,61159.3,61020.15,62922.8,61131.51076890668,61633.04655431718,0.7273826760504498,-2.3183965112804943,910.9285714285714,2475.0715970512683,0.6793281457105278,36476,1.6340024458968514,1,0,41.65957290965535,40226,-3684.0,-8.389888408107494,1708.0,0,60.593569661995055,-501.5357854105023,-688.2217334207874,0,1,0,0,0,1,3.236040609137056
